2026-02-27 22:20:23,273 - root - INFO - [Worker-0/PID-25321] - Worker 0 (PID: 25321) logging initialized
2026-02-27 22:20:23,274 - root - INFO - [Worker-0/PID-25321] - Worker 0 starting (PID: 25321)
2026-02-27 22:20:24,061 - root - INFO - [Worker-0/PID-25321] - Loaded tokenizer from local path: /work/build/models/gpt-oss/gpt-oss-120b
2026-02-27 22:20:24,061 - root - INFO - [Worker-0/PID-25321] - Worker 0 initialized successfully
2026-02-27 22:21:56,877 - root - INFO - [Worker-0/PID-25321] - [719627664] {'request_id': 719627664, 'input_seq_len': 500, 'output_seq_len': 1636, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.618658', 'http_post_time': '2026-02-27 22:21:19.618698', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:56.877447', 'zmq_push_time': '2026-02-27 22:21:56.877447', 'total_time_s': 37.25878882408142, 'http_queue_latency_s': 4.0531158447265625e-05}
2026-02-27 22:21:57,122 - root - INFO - [Worker-0/PID-25321] - [719508880] {'request_id': 719508880, 'input_seq_len': 752, 'output_seq_len': 1666, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.446361', 'http_post_time': '2026-02-27 22:21:19.446406', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:57.122474', 'zmq_push_time': '2026-02-27 22:21:57.122474', 'total_time_s': 37.67611289024353, 'http_queue_latency_s': 4.5299530029296875e-05}
2026-02-27 22:21:57,229 - root - INFO - [Worker-0/PID-25321] - [719611792] {'request_id': 719611792, 'input_seq_len': 552, 'output_seq_len': 1656, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.599701', 'http_post_time': '2026-02-27 22:21:19.599746', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:57.229397', 'zmq_push_time': '2026-02-27 22:21:57.229397', 'total_time_s': 37.629695653915405, 'http_queue_latency_s': 4.410743713378906e-05}
2026-02-27 22:21:57,249 - root - INFO - [Worker-0/PID-25321] - [719561104] {'request_id': 719561104, 'input_seq_len': 448, 'output_seq_len': 1664, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.518191', 'http_post_time': '2026-02-27 22:21:19.518730', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:57.249157', 'zmq_push_time': '2026-02-27 22:21:57.249157', 'total_time_s': 37.730966329574585, 'http_queue_latency_s': 0.0005393028259277344}
2026-02-27 22:21:57,725 - root - INFO - [Worker-0/PID-25321] - [719584656] {'request_id': 719584656, 'input_seq_len': 520, 'output_seq_len': 1684, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.545254', 'http_post_time': '2026-02-27 22:21:19.545291', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:57.725792', 'zmq_push_time': '2026-02-27 22:21:57.725792', 'total_time_s': 38.18053841590881, 'http_queue_latency_s': 3.743171691894531e-05}
2026-02-27 22:21:58,699 - root - INFO - [Worker-0/PID-25321] - [719519120] {'request_id': 719519120, 'input_seq_len': 386, 'output_seq_len': 1737, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.473116', 'http_post_time': '2026-02-27 22:21:19.476192', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:58.699523', 'zmq_push_time': '2026-02-27 22:21:58.699523', 'total_time_s': 39.22640657424927, 'http_queue_latency_s': 0.0030760765075683594}
2026-02-27 22:21:59,832 - root - INFO - [Worker-0/PID-25321] - [719542160] {'request_id': 719542160, 'input_seq_len': 473, 'output_seq_len': 1789, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.504363', 'http_post_time': '2026-02-27 22:21:19.507610', 'first_token_time': None, 'final_token_time': '2026-02-27 22:21:59.832199', 'zmq_push_time': '2026-02-27 22:21:59.832199', 'total_time_s': 40.32783603668213, 'http_queue_latency_s': 0.0032477378845214844}
2026-02-27 22:22:00,905 - root - INFO - [Worker-0/PID-25321] - [719599504] {'request_id': 719599504, 'input_seq_len': 388, 'output_seq_len': 1833, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.587265', 'http_post_time': '2026-02-27 22:21:19.587724', 'first_token_time': None, 'final_token_time': '2026-02-27 22:22:00.905744', 'zmq_push_time': '2026-02-27 22:22:00.905744', 'total_time_s': 41.31847906112671, 'http_queue_latency_s': 0.00045943260192871094}
2026-02-27 22:22:01,954 - root - INFO - [Worker-0/PID-25321] - [719518096] {'request_id': 719518096, 'input_seq_len': 423, 'output_seq_len': 1891, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.472990', 'http_post_time': '2026-02-27 22:21:19.476016', 'first_token_time': None, 'final_token_time': '2026-02-27 22:22:01.954279', 'zmq_push_time': '2026-02-27 22:22:01.954279', 'total_time_s': 42.48128914833069, 'http_queue_latency_s': 0.0030257701873779297}
2026-02-27 22:22:02,525 - root - INFO - [Worker-0/PID-25321] - [719631760] {'request_id': 719631760, 'input_seq_len': 353, 'output_seq_len': 1904, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.623792', 'http_post_time': '2026-02-27 22:21:19.623851', 'first_token_time': None, 'final_token_time': '2026-02-27 22:22:02.525797', 'zmq_push_time': '2026-02-27 22:22:02.525797', 'total_time_s': 42.9020049571991, 'http_queue_latency_s': 5.841255187988281e-05}
2026-02-27 22:22:02,756 - root - INFO - [Worker-0/PID-25321] - [719603088] {'request_id': 719603088, 'input_seq_len': 488, 'output_seq_len': 1919, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.588922', 'http_post_time': '2026-02-27 22:21:19.589831', 'first_token_time': None, 'final_token_time': '2026-02-27 22:22:02.756420', 'zmq_push_time': '2026-02-27 22:22:02.756420', 'total_time_s': 43.167497634887695, 'http_queue_latency_s': 0.0009090900421142578}
2026-02-27 22:22:04,146 - root - INFO - [Worker-0/PID-25321] - [719606160] {'request_id': 719606160, 'input_seq_len': 370, 'output_seq_len': 1985, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.593025', 'http_post_time': '2026-02-27 22:21:19.593074', 'first_token_time': None, 'final_token_time': '2026-02-27 22:22:04.146672', 'zmq_push_time': '2026-02-27 22:22:04.146672', 'total_time_s': 44.5536470413208, 'http_queue_latency_s': 4.935264587402344e-05}
2026-02-27 22:22:05,444 - root - INFO - [Worker-0/PID-25321] - [719569808] {'request_id': 719569808, 'input_seq_len': 503, 'output_seq_len': 2051, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.529429', 'http_post_time': '2026-02-27 22:21:19.529662', 'first_token_time': None, 'final_token_time': '2026-02-27 22:22:05.443875', 'zmq_push_time': '2026-02-27 22:22:05.443875', 'total_time_s': 45.914445877075195, 'http_queue_latency_s': 0.00023245811462402344}
2026-02-27 22:22:05,858 - root - INFO - [Worker-0/PID-25321] - [719560592] {'request_id': 719560592, 'input_seq_len': 405, 'output_seq_len': 2072, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.518124', 'http_post_time': '2026-02-27 22:21:19.518614', 'first_token_time': None, 'final_token_time': '2026-02-27 22:22:05.858814', 'zmq_push_time': '2026-02-27 22:22:05.858814', 'total_time_s': 46.34068989753723, 'http_queue_latency_s': 0.0004892349243164062}
2026-02-27 22:22:06,072 - root - INFO - [Worker-0/PID-25321] - [719527824] {'request_id': 719527824, 'input_seq_len': 173, 'output_seq_len': 2085, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.503385', 'http_post_time': '2026-02-27 22:21:19.505966', 'first_token_time': None, 'final_token_time': '2026-02-27 22:22:06.072005', 'zmq_push_time': '2026-02-27 22:22:06.072005', 'total_time_s': 46.56861925125122, 'http_queue_latency_s': 0.0025811195373535156}
2026-02-27 22:22:07,839 - root - INFO - [Worker-0/PID-25321] - [719611280] {'request_id': 719611280, 'input_seq_len': 743, 'output_seq_len': 2158, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.599169', 'http_post_time': '2026-02-27 22:21:19.599222', 'first_token_time': None, 'final_token_time': '2026-02-27 22:22:07.839530', 'zmq_push_time': '2026-02-27 22:22:07.839530', 'total_time_s': 48.24036121368408, 'http_queue_latency_s': 5.364418029785156e-05}
2026-02-27 22:22:09,218 - root - INFO - [Worker-0/PID-25321] - [719608208] {'request_id': 719608208, 'input_seq_len': 689, 'output_seq_len': 2223, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.595854', 'http_post_time': '2026-02-27 22:21:19.595898', 'first_token_time': None, 'final_token_time': '2026-02-27 22:22:09.218258', 'zmq_push_time': '2026-02-27 22:22:09.218258', 'total_time_s': 49.62240481376648, 'http_queue_latency_s': 4.482269287109375e-05}
2026-02-27 22:22:10,317 - root - INFO - [Worker-0/PID-25321] - [719522704] {'request_id': 719522704, 'input_seq_len': 447, 'output_seq_len': 2285, 'num_chunks': 0, 'zmq_recv_time': '2026-02-27 22:21:19.473546', 'http_post_time': '2026-02-27 22:21:19.502748', 'first_token_time': None, 'final_token_time': '2026-02-27 22:22:10.317727', 'zmq_push_time': '2026-02-27 22:22:10.317727', 'total_time_s': 50.844181537628174, 'http_queue_latency_s': 0.029201745986938477}
